Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Sriram,https://www.google.com/maps?cid=10771616690097264042, 10 A.M.,10 P.M/,☕☕☕☕,💪💪💪,🔌🔌🔌

dfgsdf,https://www.google.com/maps/place/P+%26+J+Entertainments/@51.5717267,-0.0415304,18z/data=!3m1!5s0x48761db3fb59f9e1:0xefded2f46d52ec1b!4m14!1m7!3m6!1s0x48761db0ffba586b:0x93a04ceef20365f1!2sLighthaus!8m2!3d51.5701279!4d-0.0392317!16s%2Fg%2F11c6ttrf0p!3m5!1s0x48761db3fb6400ad:0x7afd04bc60626fb!8m2!3d51.572295!4d-0.041521!16s%2Fg%2F1vzqrrkp?entry=ttu, 9,9,☕☕☕☕,💪💪,🔌🔌🔌🔌
dfgsdf,https://www.google.com/maps/place/P+%26+J+Entertainments/@51.5717267,-0.0415304,18z/data=!3m1!5s0x48761db3fb59f9e1:0xefded2f46d52ec1b!4m14!1m7!3m6!1s0x48761db0ffba586b:0x93a04ceef20365f1!2sLighthaus!8m2!3d51.5701279!4d-0.0392317!16s%2Fg%2F11c6ttrf0p!3m5!1s0x48761db3fb6400ad:0x7afd04bc60626fb!8m2!3d51.572295!4d-0.041521!16s%2Fg%2F1vzqrrkp?entry=ttu, 9,9,☕☕☕☕,💪💪💪,🔌🔌🔌🔌
hii,https://www.google.com/maps/place/P+%26+J+Entertainments/@51.5717267,-0.0415304,18z/data=!3m1!5s0x48761db3fb59f9e1:0xefded2f46d52ec1b!4m14!1m7!3m6!1s0x48761db0ffba586b:0x93a04ceef20365f1!2sLighthaus!8m2!3d51.5701279!4d-0.0392317!16s%2Fg%2F11c6ttrf0p!3m5!1s0x48761db3fb6400ad:0x7afd04bc60626fb!8m2!3d51.572295!4d-0.041521!16s%2Fg%2F1vzqrrkp?entry=ttu, 10,9,☕☕☕,💪💪💪,🔌🔌🔌🔌🔌
hii,https://www.google.com/maps/place/P+%26+J+Entertainments/@51.5717267,-0.0415304,18z/data=!3m1!5s0x48761db3fb59f9e1:0xefded2f46d52ec1b!4m14!1m7!3m6!1s0x48761db0ffba586b:0x93a04ceef20365f1!2sLighthaus!8m2!3d51.5701279!4d-0.0392317!16s%2Fg%2F11c6ttrf0p!3m5!1s0x48761db3fb6400ad:0x7afd04bc60626fb!8m2!3d51.572295!4d-0.041521!16s%2Fg%2F1vzqrrkp?entry=ttu, 10AM,9PM,☕☕☕,💪💪💪,🔌🔌🔌🔌🔌
